Fiscal Year Ended,Tax Category,Tax or Fee,Amount Collected,Tax or Fee Sort Order
2009,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),190679820,51
2009,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
2009,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
2009,Other Taxes and Fees,Office of General Services Procurement Fees,-1562893,54
2009,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,58249697404,55
2008,Personal Income,Personal Income Tax,36563948528,1
2008,Corporation and Business,Business Corporations Article 9-A,3428932644,2
2008,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",23737924,3
2008,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",60920233,4
2008,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",14510356,5
2008,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",-494792,6
2008,Corporation and Business,"Light, Water, Power, Article 9, Section 186",37809565,7
2008,Corporation and Business,"Utilities, Article 9, Section 186-a",98714198,8
2008,Corporation and Business,"Telecommunications, Article 9, Section 186-e",441475940,9
2008,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
2008,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",978962,11
2008,Corporation and Business,"Unrelated Business Corporations, Article 13",17045077,12
2008,Corporation and Business,"Clearing House Banks, Article 32",23456904,13
2008,Corporation and Business,"Other Commercial Banks, Article 32",833904152,14
2008,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",22640030,15
2008,Corporation and Business,"Insurance Corporations, Article 33",993181378,16
2008,Corporation and Business,"Insurance, Direct Writings, Article 33-A",13186168,17
2008,Corporation and Business,"Lubricating Oils, Article 24",1577,18
2008,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2008,Corporation and Business,"Petroleum Businesses, Article 13-A",1155335435,20
2008,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,10578790344,21
2008,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",71075841,22
2008,"Sales, Excise and Use","Motor Fuel, Article 12-A",453858415,23
2008,"Sales, Excise and Use",Petroleum Testing Fees,2904531,24
2008,"Sales, Excise and Use",Cigarette Tax,926891270,25
2008,"Sales, Excise and Use",Tobacco Products Tax,46598440,26
2008,"Sales, Excise and Use",Cigarette Retail License Fees,2633151,27
2008,"Sales, Excise and Use",Cigarette Vending Machine Stickers,63702,28
2008,"Sales, Excise and Use",Alcoholic Beverage Tax,204828357,29
2008,"Sales, Excise and Use",Non-Refillable Beverage Containers,31681,30
2008,"Sales, Excise and Use",Highway Use Truck Mileage Tax,111910588,31
2008,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,2354508,32
2008,"Sales, Excise and Use",Highway Use Fuel Use Tax,33690763,33
2008,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,1633,34
2008,"Sales, Excise and Use",Passenger Car Rental Tax,47802581,35
2008,Property Transfer,Estate Tax,1036651793,36
2008,Property Transfer,Gift Tax,879335,37
2008,Property Transfer,Real Estate Transfer Tax,1020669027,38
2008,Property Transfer,Real Property Transfer Gains Tax,566795,39
2008,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,8286845,40
2008,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2008,Other Taxes and Fees,Flat Racing Uncashed Tickets,110224,42
2008,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,672203,43
2008,Other Taxes and Fees,Harness Racing Uncashed Tickets,663563,44
2008,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,14621429,45
2008,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,6520487,46
2008,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),370033,47
2008,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,581387,48
2008,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),1605908,49
2008,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),26756399,50
2008,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),174870027,51
2008,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
2008,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
2008,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
2008,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,58506545541,55
2007,Personal Income,Personal Income Tax,34579992110,1
2007,Corporation and Business,Business Corporations Article 9-A,3655188096,2
2007,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",26645279,3
2007,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",14468493,4
2007,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",71020797,5
2007,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",36716,6
2007,Corporation and Business,"Light, Water, Power, Article 9, Section 186",33079971,7
2007,Corporation and Business,"Utilities, Article 9, Section 186-a",88789909,8
2007,Corporation and Business,"Telecommunications, Article 9, Section 186-e",476346199,9
2007,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
2007,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",-49868,11
2007,Corporation and Business,"Unrelated Business Corporations, Article 13",21298340,12
2007,Corporation and Business,"Clearing House Banks, Article 32",-60455012,13
2007,Corporation and Business,"Other Commercial Banks, Article 32",1059501659,14
2007,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",24946242,15
2007,Corporation and Business,"Insurance Corporations, Article 33",1040652200,16
2007,Corporation and Business,"Insurance, Direct Writings, Article 33-A",15451571,17
2007,Corporation and Business,"Lubricating Oils, Article 24",2197,18
2007,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2007,Corporation and Business,"Petroleum Businesses, Article 13-A",1090303785,20
2007,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,10194179453,21
2007,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",68218009,22
2007,"Sales, Excise and Use","Motor Fuel, Article 12-A",445171948,23
2007,"Sales, Excise and Use",Petroleum Testing Fees,2833756,24
2007,"Sales, Excise and Use",Cigarette Tax,937546920,25
2007,"Sales, Excise and Use",Tobacco Products Tax,44314179,26
2007,"Sales, Excise and Use",Cigarette Retail License Fees,2710981,27
2007,"Sales, Excise and Use",Cigarette Vending Machine Stickers,94724,28
2007,"Sales, Excise and Use",Alcoholic Beverage Tax,194295542,29
2007,"Sales, Excise and Use",Non-Refillable Beverage Containers,15617,30
2007,"Sales, Excise and Use",Highway Use Truck Mileage Tax,111980750,31
2007,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,4485930,32
2007,"Sales, Excise and Use",Highway Use Fuel Use Tax,36203355,33
2007,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,64741,34
2007,"Sales, Excise and Use",Passenger Car Rental Tax,47239402,35
2007,Property Transfer,Estate Tax,1063341531,36
2007,Property Transfer,Gift Tax,-9957809,37
2007,Property Transfer,Real Estate Transfer Tax,1022094345,38
2007,Property Transfer,Real Property Transfer Gains Tax,446561,39
2007,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,7152192,40
2007,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2007,Other Taxes and Fees,Flat Racing Uncashed Tickets,198400,42
2007,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,450154,43
2007,Other Taxes and Fees,Harness Racing Uncashed Tickets,366041,44
2007,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,13207757,45
2007,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,6712356,46
1997,Property Transfer,Gift Tax,97764227,37
2007,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),364485,47
2007,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,307317,48
2007,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),-1870333,49
2007,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),25640250,50
2007,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),165845961,51
2007,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
2007,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
2007,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
2006,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2007,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,56520873199,55
2006,Personal Income,Personal Income Tax,30812925119,1
2006,Corporation and Business,Business Corporations Article 9-A,2655553418,2
2006,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",28106715,3
2006,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",25212873,4
2006,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",66785763,5
2006,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",85410,6
2006,Corporation and Business,"Light, Water, Power, Article 9, Section 186",12394639,7
2006,Corporation and Business,"Utilities, Article 9, Section 186-a",60798121,8
2006,Corporation and Business,"Telecommunications, Article 9, Section 186-e",487993259,9
2006,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
2006,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",27030,11
2006,Corporation and Business,"Unrelated Business Corporations, Article 13",9230774,12
2006,Corporation and Business,"Clearing House Banks, Article 32",170038383,13
2006,Corporation and Business,"Other Commercial Banks, Article 32",632111739,14
2006,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",39651018,15
2006,Corporation and Business,"Insurance Corporations, Article 33",901833750,16
2006,Corporation and Business,"Insurance, Direct Writings, Article 33-A",13133399,17
2006,Corporation and Business,"Lubricating Oils, Article 24",-3040,18
2006,Corporation and Business,"Oil Users, Article 9, Section 182-a",-91,19
2006,Corporation and Business,"Petroleum Businesses, Article 13-A",1145697782,20
2006,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,10633673013,21
2006,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",68922246,22
2006,"Sales, Excise and Use","Motor Fuel, Article 12-A",461774490,23
2006,"Sales, Excise and Use",Petroleum Testing Fees,2920688,24
2006,"Sales, Excise and Use",Cigarette Tax,931957689,25
2006,"Sales, Excise and Use",Tobacco Products Tax,39373048,26
2006,"Sales, Excise and Use",Cigarette Retail License Fees,2744237,27
2006,"Sales, Excise and Use",Cigarette Vending Machine Stickers,92723,28
2006,"Sales, Excise and Use",Alcoholic Beverage Tax,191681244,29
2006,"Sales, Excise and Use",Non-Refillable Beverage Containers,2105,30
2006,"Sales, Excise and Use",Highway Use Truck Mileage Tax,116068946,31
2006,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,7192699,32
2006,"Sales, Excise and Use",Highway Use Fuel Use Tax,36908688,33
2006,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,4389,34
2006,"Sales, Excise and Use",Passenger Car Rental Tax,42183419,35
2006,Property Transfer,Estate Tax,854836117,36
2006,Property Transfer,Gift Tax,1998214,37
2006,Property Transfer,Real Estate Transfer Tax,938144770,38
2006,Property Transfer,Real Property Transfer Gains Tax,939367,39
2006,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,5736159,40
2006,Other Taxes and Fees,Flat Racing Uncashed Tickets,131214,42
2006,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,258129,43
2006,Other Taxes and Fees,Harness Racing Uncashed Tickets,435385,44
2006,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,16672612,45
2006,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,5634297,46
2006,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),556081,47
2006,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,473616,48
2006,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),5270640,49
2006,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),26728990,50
2006,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),152049512,51
2006,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
2006,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
2006,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
2006,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,51606940789,55
2005,Personal Income,Personal Income Tax,28100047032,1
2005,Corporation and Business,Business Corporations Article 9-A,1856640618,2
2005,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",28376802,3
2005,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",22861596,4
2005,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",57821309,5
2005,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",118738,6
2005,Corporation and Business,"Light, Water, Power, Article 9, Section 186",16760277,7
2005,Corporation and Business,"Utilities, Article 9, Section 186-a",134878230,8
2005,Corporation and Business,"Telecommunications, Article 9, Section 186-e",432540962,9
2005,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
2005,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",3322960,11
2005,Corporation and Business,"Unrelated Business Corporations, Article 13",1098656,12
2005,Corporation and Business,"Clearing House Banks, Article 32",0,13
2005,Corporation and Business,"Other Commercial Banks, Article 32",577134938,14
2005,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",9561058,15
2005,Corporation and Business,"Insurance Corporations, Article 33",872731674,16
2005,Corporation and Business,"Insurance, Direct Writings, Article 33-A",13729413,17
2005,Corporation and Business,"Lubricating Oils, Article 24",2488,18
2005,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2004,"Sales, Excise and Use","Motor Fuel, Article 12-A",462847996,23
2005,Corporation and Business,"Petroleum Businesses, Article 13-A",1085055377,20
2005,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,10572931594,21
2005,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",66304191,22
2005,"Sales, Excise and Use","Motor Fuel, Article 12-A",463469457,23
2005,"Sales, Excise and Use",Petroleum Testing Fees,2914193,24
2005,"Sales, Excise and Use",Cigarette Tax,936282651,25
2005,"Sales, Excise and Use",Tobacco Products Tax,39665631,26
2005,"Sales, Excise and Use",Cigarette Retail License Fees,2909587,27
2005,"Sales, Excise and Use",Cigarette Vending Machine Stickers,75628,28
2005,"Sales, Excise and Use",Alcoholic Beverage Tax,184893893,29
2005,"Sales, Excise and Use",Non-Refillable Beverage Containers,921,30
2005,"Sales, Excise and Use",Highway Use Truck Mileage Tax,115412992,31
2005,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,3748878,32
2005,"Sales, Excise and Use",Highway Use Fuel Use Tax,32231597,33
2005,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,6399,34
2005,"Sales, Excise and Use",Passenger Car Rental Tax,41440692,35
2005,Property Transfer,Estate Tax,895289667,36
2005,Property Transfer,Gift Tax,3192592,37
2005,Property Transfer,Real Estate Transfer Tax,729740514,38
2005,Property Transfer,Real Property Transfer Gains Tax,675742,39
2005,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,9257129,40
2005,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2005,Other Taxes and Fees,Flat Racing Uncashed Tickets,1611720,42
2005,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,426111,43
2005,Other Taxes and Fees,Harness Racing Uncashed Tickets,475571,44
2005,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,16345883,45
2005,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,3388093,46
2005,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),378779,47
2005,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,352143,48
2005,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),2337493,49
2005,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),26472681,50
2005,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),137154156,51
2005,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
2005,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
2005,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
2005,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,47502068703,55
2004,Personal Income,Personal Income Tax,24647225527,1
2004,Corporation and Business,Business Corporations Article 9-A,1484866772,2
2004,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",27662147,3
2004,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",23233482,4
2004,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",48468167,5
2004,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",89652,6
2004,Corporation and Business,"Light, Water, Power, Article 9, Section 186",2439753,7
2004,Corporation and Business,"Utilities, Article 9, Section 186-a",195191556,8
2004,Corporation and Business,"Telecommunications, Article 9, Section 186-e",466477856,9
2004,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
2004,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",7748995,11
2004,Corporation and Business,"Unrelated Business Corporations, Article 13",-2989001,12
2004,Corporation and Business,"Clearing House Banks, Article 32",0,13
2004,Corporation and Business,"Commercial Banks, Article 32",280629277,14
2004,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",5320347,15
2004,Corporation and Business,"Insurance Corporations, Article 33",833073288,16
2004,Corporation and Business,"Insurance, Direct Writings, Article 33-A",11872762,17
2004,Corporation and Business,"Lubricating Oils, Article 24",5741,18
2004,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2004,Corporation and Business,"Petroleum Businesses, Article 13-A",1052373031,20
2004,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,9652844192,21
2004,"Sales, Excise and Use",Petroleum Testing Fees,3025564,24
2004,"Sales, Excise and Use",Cigarette Tax,969176240,25
2004,"Sales, Excise and Use",Tobacco Products Tax,40419425,26
2004,"Sales, Excise and Use",Cigarette Retail License Fees,2987857,27
2004,"Sales, Excise and Use",Cigarette Vending Machine Stickers,45545,28
2004,"Sales, Excise and Use",Alcoholic Beverage Tax,191364128,29
2004,"Sales, Excise and Use",Non-Refillable Beverage Containers,643,30
2004,"Sales, Excise and Use",Highway Use Truck Mileage Tax,113243832,31
2004,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,4170791,32
2004,"Sales, Excise and Use",Highway Use Fuel Use Tax,29207257,33
2004,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,64517,34
2004,"Sales, Excise and Use",Passenger Car Rental Tax,37187409,35
2004,Property Transfer,Estate Tax,732294754,36
2004,Property Transfer,Gift Tax,3709425,37
2004,Property Transfer,Real Estate Transfer Tax,510442500,38
2004,Property Transfer,Real Property Transfer Gains Tax,3715217,39
2004,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,9998839,40
2004,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2004,Other Taxes and Fees,Flat Racing Uncashed Tickets,1487318,42
2004,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,796291,43
2004,Other Taxes and Fees,Harness Racing Uncashed Tickets,568858,44
2004,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,16694220,45
2004,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,6521547,46
2004,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),344374,47
2004,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,225578,48
2004,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),2373894,49
2004,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),9829914,50
2004,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),129938203,51
2004,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
2004,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
2004,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
2004,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,42071898099,55
2003,Personal Income,Personal Income Tax,23698334558,1
2003,Corporation and Business,Business Corporations Article 9-A,1402643581,2
2003,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",25997793,3
2003,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",18665148,4
2003,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",70208166,5
2003,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",35139,6
2003,Corporation and Business,"Light, Water, Power, Article 9, Section 186",550206,7
2003,Corporation and Business,"Utilities, Article 9, Section 186-a",360175334,8
2003,Corporation and Business,"Telecommunications, Article 9, Section 186-e",435834702,9
2003,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
2003,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",16582883,11
2003,Corporation and Business,"Unrelated Business Corporations, Article 13",4671057,12
2003,Corporation and Business,"Clearing House Banks, Article 32",0,13
2003,Corporation and Business,"Commercial Banks, Article 32",398414102,14
2003,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",10630620,15
2003,Corporation and Business,"Insurance Corporations, Article 33",624220538,16
2003,Corporation and Business,"Insurance, Direct Writings, Article 33-A",8392092,17
2003,Corporation and Business,"Lubricating Oils, Article 24",-25702,18
2003,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2003,Corporation and Business,"Petroleum Businesses, Article 13-A",1022901571,20
2003,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,8471206723,21
2003,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",65035502,22
2003,"Sales, Excise and Use","Motor Fuel, Article 12-A",478745263,23
2003,"Sales, Excise and Use",Petroleum Testing Fees,3064690,24
2003,"Sales, Excise and Use",Cigarette Tax,1079014351,25
2003,"Sales, Excise and Use",Tobacco Products Tax,37640804,26
2003,"Sales, Excise and Use",Cigarette Retail License Fees,3126783,27
2003,"Sales, Excise and Use",Cigarette Vending Machine Stickers,128466,28
2003,"Sales, Excise and Use",Alcoholic Beverage Tax,179762383,29
2003,"Sales, Excise and Use",Non-Refillable Beverage Containers,1145,30
2003,"Sales, Excise and Use",Highway Use Truck Mileage Tax,113398285,31
2003,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,6702614,32
2003,"Sales, Excise and Use",Highway Use Fuel Use Tax,26738496,33
2003,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,7660,34
2003,"Sales, Excise and Use",Passenger Car Rental Tax,37911285,35
2003,Property Transfer,Estate Tax,700967464,36
2003,Property Transfer,Gift Tax,7043434,37
2003,Property Transfer,Real Estate Transfer Tax,447560166,38
2003,Property Transfer,Real Property Transfer Gains Tax,4860083,39
2003,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,10559441,40
2003,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2003,Other Taxes and Fees,Flat Racing Uncashed Tickets,1669549,42
2003,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,803245,43
2003,Other Taxes and Fees,Harness Racing Uncashed Tickets,546997,44
2003,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,18094067,45
2003,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,6449591,46
2003,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),319163,47
2003,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,259431,48
2003,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),3311987,49
2003,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),0,50
2003,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),65921442,51
2003,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
2003,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
2003,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
2003,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,39869082298,55
2002,Personal Income,Personal Income Tax,27413649936,1
2002,Corporation and Business,Business Corporations Article 9-A,1504830824,2
2002,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",24060636,3
2002,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",19347130,4
2002,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",84299081,5
2002,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",131446,6
2002,Corporation and Business,"Light, Water, Power, Article 9, Section 186",-4093091,7
2002,Corporation and Business,"Utilities, Article 9, Section 186-a",412416452,8
2002,Corporation and Business,"Telecommunications, Article 9, Section 186-e",502537105,9
2002,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
2002,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",12511033,11
2002,Corporation and Business,"Unrelated Business Corporations, Article 13",10151390,12
2002,Corporation and Business,"Clearing House Banks, Article 32",0,13
2002,Corporation and Business,"Commercial Banks, Article 32",486577188,14
2002,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",9184954,15
2002,Corporation and Business,"Insurance Corporations, Article 33",585444455,16
2002,Corporation and Business,"Insurance, Direct Writings, Article 33-A",6828780,17
2002,Corporation and Business,"Lubricating Oils, Article 24",4198,18
2002,Corporation and Business,"Oil Users, Article 9, Section 182-a",-79589,19
2002,Corporation and Business,"Petroleum Businesses, Article 13-A",1002556257,20
2002,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,8247755984,21
2002,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",58551357,22
2002,"Sales, Excise and Use","Motor Fuel, Article 12-A",430844878,23
2002,"Sales, Excise and Use",Petroleum Testing Fees,2789482,24
2002,"Sales, Excise and Use",Cigarette Tax,989038996,25
2002,"Sales, Excise and Use",Tobacco Products Tax,21909885,26
2002,"Sales, Excise and Use",Cigarette Retail License Fees,3233654,27
2002,"Sales, Excise and Use",Cigarette Vending Machine Stickers,124504,28
2002,"Sales, Excise and Use",Alcoholic Beverage Tax,178153413,29
2002,"Sales, Excise and Use",Non-Refillable Beverage Containers,213,30
2002,"Sales, Excise and Use",Highway Use Truck Mileage Tax,116542381,31
2002,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,3232211,32
2002,"Sales, Excise and Use",Highway Use Fuel Use Tax,28523197,33
2002,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,3409,34
2002,"Sales, Excise and Use",Passenger Car Rental Tax,37544739,35
2002,Property Transfer,Estate Tax,761392171,36
2002,Property Transfer,Gift Tax,6296660,37
2002,Property Transfer,Real Estate Transfer Tax,370624821,38
2002,Property Transfer,Real Property Transfer Gains Tax,4712643,39
2002,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,10525233,40
2002,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2002,Other Taxes and Fees,Flat Racing Uncashed Tickets,1595162,42
2002,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,851652,43
2002,Other Taxes and Fees,Harness Racing Uncashed Tickets,551952,44
2002,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,18269116,45
2002,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,6240856,46
2002,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),285497,47
2002,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,387704,48
2002,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),6015734,49
2002,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),0,50
